iter	Passed	Remaining
0	2	262
1	4	235
2	7	231
3	8	215
4	11	213
5	13	207
6	15	200
7	17	196
8	19	192
9	21	189
10	23	188
11	24	183
12	27	181
13	30	188
14	32	185
15	35	184
16	37	183
17	39	180
18	41	177
19	43	174
20	46	173
21	48	171
22	50	168
23	52	166
24	54	163
25	56	161
26	58	158
27	60	156
28	62	153
29	65	151
30	67	149
31	69	147
32	71	145
33	73	143
34	75	141
35	78	138
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	89	123
42	91	120
43	93	118
44	95	116
45	97	114
46	99	111
47	101	109
48	103	107
49	105	105
50	107	102
51	109	100
52	111	98
53	113	96
54	115	94
55	117	92
56	119	90
57	121	87
58	123	85
59	125	83
60	127	81
61	130	79
62	132	77
63	134	75
64	136	73
65	138	71
66	140	69
67	142	66
68	144	64
69	146	62
70	148	60
71	150	58
72	152	56
73	154	54
74	156	52
75	158	50
76	160	47
77	162	45
78	164	43
79	166	41
80	168	39
81	170	37
82	172	35
83	174	33
84	176	31
85	178	28
86	180	26
87	182	24
88	184	22
89	185	20
90	187	18
91	189	16
92	191	14
93	193	12
94	195	10
95	197	8
96	199	6
97	201	4
98	203	2
99	205	0
